eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,prey_repro_thresh,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,cooldown_jitter,parent_energy_split,child_energy,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
91,58.793373,0.005000,0.211833,0.049583,0.002000,0.048491,0.458315,0.600000,0.200000,0.852303,0.950000,2.000000,15.197821,6.000000,3.000000,0.697989,0.394747,5.000000,1.000000,0.000000,1.419764,600.000000,47.419014,0.500000,300.000000,0.002000,0.500000,0.100000,1.398098,100.000000,5.000000,4.000000,0.123794
92,56.654016,0.005000,0.250000,0.100000,0.002877,0.010000,0.800000,0.686714,3.000000,0.950000,0.500000,3.414439,9.475498,14.613126,3.000000,0.414849,0.200000,30.000000,1.000000,0.000000,5.000000,200.000000,77.585580,0.794406,145.206361,0.050000,5.000000,1.782164,0.639517,10.000000,0.500000,1.000000,0.005000
93,53.821486,0.005000,0.050000,0.030930,0.018604,0.038325,0.400000,1.000000,3.000000,0.500000,0.500000,15.000000,14.199251,10.182492,3.000000,0.700000,0.200000,30.000000,0.000000,0.000000,0.500000,600.000000,140.450909,0.500000,20.000000,0.002000,5.000000,2.822461,1.681546,100.000000,0.500000,4.000000,0.150000
94,55.636747,0.015376,0.168845,0.020000,0.020000,0.024010,0.436250,0.800630,0.200000,0.500000,0.950000,5.666803,14.775997,7.675566,0.000000,0.530780,0.200000,5.000000,0.000000,164.540752,0.500000,200.000000,200.000000,0.500000,132.566936,0.002000,2.889173,0.100000,0.300000,80.263629,0.500000,3.441190,0.005000
95,57.392733,0.005000,0.250000,0.020000,0.002000,0.080000,0.691090,0.886016,3.000000,0.950000,0.500000,3.854013,4.000000,19.599754,1.920772,0.700000,0.200000,30.000000,1.000000,300.000000,0.500000,227.633326,40.000000,0.500000,20.000000,0.010299,0.500000,3.000000,0.562838,10.000000,0.500000,2.773196,0.005000
96,55.483051,0.005000,0.250000,0.020000,0.020000,0.080000,0.535269,0.600000,0.200000,0.500000,0.500000,4.823939,4.000000,7.294611,2.812673,0.700000,0.224387,30.000000,1.000000,88.233553,2.665701,200.000000,40.000000,0.500000,300.000000,0.002000,0.500000,2.068938,1.521763,75.096682,0.500000,4.000000,0.150000
97,55.685341,0.049005,0.250000,0.020000,0.012316,0.010000,0.543378,0.748853,2.292602,0.500000,0.950000,8.288346,4.000000,12.627470,0.566767,0.614281,0.200000,30.000000,1.000000,0.000000,5.000000,600.000000,40.000000,0.500000,300.000000,0.038695,2.989345,3.000000,0.300000,10.000000,0.500000,3.042945,0.150000
98,55.075100,0.005000,0.200427,0.020000,0.020000,0.047207,0.800000,0.600000,1.285313,0.788006,0.686316,2.000000,4.000000,18.856226,2.048168,0.492550,0.500000,19.803682,1.000000,0.000000,0.500000,200.000000,200.000000,0.728179,300.000000,0.002000,5.000000,0.100000,1.941895,100.000000,5.000000,2.303683,0.005000
99,53.813052,0.005000,0.101264,0.082492,0.007318,0.063301,0.800000,1.000000,0.200000,0.514525,0.500000,12.348566,9.582740,19.009755,3.000000,0.656685,0.309692,30.000000,0.471752,300.000000,5.000000,500.324910,200.000000,1.500000,283.951499,0.002000,0.500000,3.000000,2.000000,69.326160,5.000000,1.000000,0.005000
100,55.938405,0.005000,0.250000,0.035325,0.020000,0.010000,0.800000,1.000000,0.200000,0.783899,0.500000,2.000000,4.000000,6.000000,0.000000,0.403456,0.200000,5.000000,0.075438,0.000000,2.079763,600.000000,40.000000,1.500000,20.000000,0.050000,1.756986,0.100000,0.398741,10.000000,0.500000,1.000000,0.150000
